question,option1,option2,option3,option4,correct_answer,level
What is the capital of India?,Mumbai,Kolkata,New Delhi,Chennai,3,easy
What is 2 + 2?,3,4,5,6,2,easy
What is the largest planet?,Earth,Mars,Jupiter,Saturn,3,easy
Who discovered gravity?,Newton,Einstein,Tesla,Edison,1,easy
What is H2O?,Hydrogen,Oxygen,Water,Helium,3,easy
What is 10 x 5?,40,50,60,45,2,easy
Which gas do we breathe?,Oxygen,Nitrogen,CO2,Hydrogen,1,easy
What is the square root of 25?,4,5,6,7,2,easy
Which animal is known as king of jungle?,Tiger,Lion,Elephant,Bear,2,easy
Which is fastest land animal?,Cheetah,Lion,Tiger,Deer,1,easy
Which planet is closest to Sun?,Earth,Mercury,Venus,Mars,2,easy
What is 15 + 10?,20,25,30,35,2,easy
What is 100 / 10?,5,10,20,25,2,easy
Which is national fruit of India?,Mango,Banana,Apple,Grapes,1,easy
What is boiling point of water?,90,100,80,120,2,easy
Who invented bulb?,Edison,Tesla,Newton,Graham Bell,1,easy
Which is largest ocean?,Indian,Atlantic,Pacific,Arctic,3,easy
What is 7 x 6?,36,42,48,40,2,easy
Which is tallest mountain?,Everest,K2,Kilimanjaro,Alps,1,easy
Which is national bird?,Peacock,Crow,Sparrow,Eagle,1,easy
What is 81 / 9?,8,9,7,6,2,easy
What is 12 x 12?,144,124,132,156,1,easy
What is 20 - 5?,10,15,20,5,2,easy
Which is national flower?,Rose,Lotus,Lily,Sunflower,2,easy
What is 3^2?,6,9,12,3,2,easy
What is 50% of 200?,50,100,150,200,2,easy
Which is smallest prime?,1,2,3,5,2,easy
Which is largest continent?,Asia,Africa,Europe,Australia,1,easy
What is 18 + 12?,20,25,30,35,3,easy
Which is currency of USA?,Dollar,Rupee,Yen,Euro,1,easy
Which organ pumps blood?,Heart,Liver,Kidney,Brain,1,easy
What is 64 / 8?,6,7,8,9,3,easy
What is 9 x 9?,72,81,90,99,2,easy
What is 36 / 6?,5,6,7,8,2,easy
What is 11 x 11?,111,121,131,141,2,easy
Which is largest mammal?,Elephant,Blue Whale,Shark,Giraffe,2,easy
What is 144 / 12?,10,11,12,13,3,easy
What is 25 x 4?,50,75,100,125,3,easy
What is 49 / 7?,5,6,7,8,3,easy
What is 8 x 7?,54,56,58,60,2,easy
Which is capital of UK?,London,Paris,Berlin,Rome,1,easy
What is 27 + 13?,30,35,40,45,3,easy
Which is chemical symbol of oxygen?,O,H,CO,N,1,easy
What is 5^2?,10,15,20,25,4,easy
What is 1000 / 10?,10,50,100,200,3,easy
Which is main gas in air?,Oxygen,Nitrogen,CO2,Hydrogen,2,easy
What is 6 x 8?,46,48,50,52,2,easy
Which is capital of Japan?,Tokyo,Osaka,Kyoto,Hiroshima,1,easy
What is 72 / 8?,7,8,9,10,3,easy
What is 13 x 3?,36,39,42,45,2,easy
What is 90 / 9?,8,9,10,11,3,easy
Which is largest country?,India,USA,Russia,China,3,easy
What is 4 x 12?,44,46,48,50,3,easy
What is 63 / 7?,7,8,9,10,3,easy
What is 14 x 2?,26,28,30,32,2,easy
What is 21 + 9?,25,30,35,40,2,easy
Which is capital of France?,Paris,Rome,Berlin,Madrid,1,easy
What is 16 x 2?,30,32,34,36,2,easy
What is 45 / 5?,7,8,9,10,3,easy
What is 17 x 3?,48,51,54,57,2,easy
What is 30 + 20?,40,50,60,70,2,easy
Which is capital of Germany?,Berlin,Hamburg,Frankfurt,Munich,1,easy
What is 19 x 2?,36,38,40,42,2,easy
What is 80 / 10?,6,7,8,9,3,easy
Which is symbol of carbon?,C,Co,Ca,Cr,1,easy
What is 23 x 2?,44,46,48,50,2,easy
What is 60 / 5?,10,11,12,13,3,easy
What is 26 + 14?,30,35,40,45,3,easy
What is 28 x 2?,54,56,58,60,2,easy
What is 75 / 5?,10,15,20,25,2,easy
What is 34 + 16?,40,45,50,55,3,easy
What is 22 x 3?,60,66,72,78,2,easy
What is 84 / 7?,10,11,12,13,3,easy
Which is capital of Italy?,Rome,Milan,Naples,Venice,1,easy
What is 29 + 11?,35,40,45,50,2,easy
What is 18 x 3?,48,54,60,66,2,easy
What is 96 / 8?,10,11,12,13,3,easy
What is 31 + 19?,40,45,50,55,3,easy
What is 24 x 3?,60,72,84,96,2,easy
What is 99 / 9?,9,10,11,12,3,easy
What is 37 + 13?,45,50,55,60,2,easy
Which is symbol of hydrogen?,H,He,Hy,Ho,1,easy
What is 27 x 3?,72,81,90,99,2,easy
What is 108 / 9?,10,11,12,13,3,easy
Which planet has rings?,Earth,Venus,Saturn,Mercury,3,medium
